surveyname,varName,DataType,Major categories,pct of the rest,Total,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Religion,Name,,,Total,,ROMAN CATHOLIC,KIRIBATI UNITED CHURCH,KIRIBATI PROTESTANT CHURCH,LATTER DAY SAINTS,OTHER RELIGION,BAHAI,NO RELIGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Religion,PctByCount,,,93.6280487804878,,51.2804878,21.6158537,9.5121951,5.2134146,3.7195122,2.0426829,0.2439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kiribati 2019 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Ethnicity,Code,,,Total,,1,3,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Ethnicity,PctByCount,1,11,93.6280487804878,,89.0243902,2.9573171,1.402439,0.2439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Ethnicity,Name,,,Total,,I-Kiribati,I-Kiribati/Mix,I-Kiribati/Tuvalu,Missing/DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Ethnicity,PctByCount,,,93.6280487804878,,89.0243902,2.9573171,1.402439,0.2439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kiribati 2019 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Language,Code,,,Total,,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Language,PctByCount,1,7,93.6280487804878,,93.0182927,0.5792683,0.0304878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Language,Name,,,Total,,KIRIBATI,ENGLISH,OTHER LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati2019,Language,PctByCount,,,93.6280487804878,,93.0182927,0.5792683,0.0304878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kyrgyzstan 2014 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2014,Religion,Code,,,Total,,1,2,7,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
