"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"IDN63+BasicWater","BasicWater","IDN63","0.666620736341137","0.666620736341137","0.666620736341137","DHS",1,"IDN63","ID","63","HR","BasicWater","0.733168875406207",1,"BasicWater",0.06654813906507
"IDN71+Covid","Covid","IDN71","0.473064839868526","0.473064839868526","0.473064839868526","DHS",1,"IDN71","ID","71","PR","Covid","0.451023117457078",1,"Covid",0.022041722411448
"IDN71+MobilePhone","MobilePhone","IDN71","0.825036577599898","0.889944510291197","0.792582611254248","DHS",1,"IDN71","ID","71","IR","MobilePhone","0.783655093700369",1,"MobilePhone",0.041381483899529
"IDN71+SafeSanitation","SafeSanitation","IDN71","0.714531182151198","0.714531182151198","0.714531182151198","DHS",1,"IDN71","ID","71","HR","SafeSanitation","0.797609571496853",1,"SafeSanitation",0.0830783893456549
"IDN71+SafeSanitationPR","SafeSanitationPR","IDN71","0.905884926640485","0.905884926640485","0.905884926640485","DHS",1,"IDN71","ID","71","PR","SafeSanitationPR","0.809876713349089",1,"SafeSanitationPR",0.0960082132913961
"IND71+AllViolence","AllViolence","IND71","0.337029852643649","0.337029852643649","0.337029852643649","DHS",1,"IND71","IA","71","IR","AllViolence","0.310250755472126",1,"AllViolence",0.026779097171523
"IND71+EmotionalViolence","EmotionalViolence","IND71","0.139403862944467","0.139403862944467","0.139403862944467","DHS",1,"IND71","IA","71","IR","EmotionalViolence","0.126945178616361",1,"EmotionalViolence",0.012458684328106
"IND71+MobilePhone","MobilePhone","IND71","0.607128825762715","0.903969705574918","0.458708385856613","DHS",1,"IND71","IA","71","IR","MobilePhone","0.458708385856613",1,"MobilePhone",0.148420439906102
"IND71+PhysicalViolence","PhysicalViolence","IND71","0.302266973830274","0.302266973830274","0.302266973830274","DHS",1,"IND71","IA","71","IR","PhysicalViolence","0.285617842739599",1,"PhysicalViolence",0.016649131090675
"IND71+SexualPhysicalViolence","SexualPhysicalViolence","IND71","0.313663316466039","0.313663316466039","0.313663316466039","DHS",1,"IND71","IA","71","IR","SexualPhysicalViolence","0.286692137148255",1,"SexualPhysicalViolence",0.026971179317784
"KAZ2010+ContraceptiveMethod","ContraceptiveMethod","KAZ2010","0.720750352377936","0.720750352377936","0.720750352377936","MICS",1,"KAZ2010","Kazakhstan","2010","wm","ContraceptiveMethod","0.795693215675604",1,"ContraceptiveMethod",0.074942863297668
"KAZ2010+SecondaryEducation2035","SecondaryEducation2035","KAZ2010","0.992131840294871","0.992131840294871","0.992131840294871","MICS",1,"KAZ2010","Kazakhstan","2010","hl","SecondaryEducation2035","0.886803347236118",1,"SecondaryEducation2035",0.105328493058753
"KAZ2010+SecondaryEducation35plus","SecondaryEducation35plus","KAZ2010","0.920290031616679","0.920290031616679","0.920290031616679","MICS",1,"KAZ2010","Kazakhstan","2010","hl","SecondaryEducation35plus","0.801571402391116",1,"SecondaryEducation35plus",0.118718629225563
