"SurveyIndicator","IndicatorName","SurveyID","meanY","maxY","minY"
"AFG70+SafeSanitation","SafeSanitation","AFG70",0.25434137234886,0.25434137234886,0.25434137234886
"AFG70+HigherEducation35+","HigherEducation35+","AFG70",0.031432316618695,0.031432316618695,0.031432316618695
"AFG70+SexualPhysicalViolence","SexualPhysicalViolence","AFG70",0.509243979706594,0.509243979706594,0.509243979706594
"AFG70+ContraceptiveMethod","ContraceptiveMethod","AFG70",0.421318156803106,0.421318156803106,0.421318156803106
"AFG70+PhysicalViolence","PhysicalViolence","AFG70",0.505950349912246,0.505950349912246,0.505950349912246
"AFG70+AllViolence","AllViolence","AFG70",0.555603217636581,0.555603217636581,0.555603217636581
"AFG70+TeenagePregnancy","TeenagePregnancy","AFG70",0.112046335081581,0.112046335081581,0.112046335081581
"AFG70+ChildMarriage15","ChildMarriage15","AFG70",0.0520380953403,0.0520380953403,0.0520380953403
"AFG70+ProfessionalHelp","ProfessionalHelp","AFG70",0.563232773357491,0.563232773357491,0.563232773357491
"AFG70+HigherEducation2535","HigherEducation2535","AFG70",0.055055699798737,0.055055699798737,0.055055699798737
"AFG70+ChildMarriage18","ChildMarriage18","AFG70",0.207263308188501,0.207263308188501,0.207263308188501
"AFG70+SecondaryEducation2035","SecondaryEducation2035","AFG70",0.167495930263996,0.167495930263996,0.167495930263996
"AFG70+BasicWater","BasicWater","AFG70",0.582784755146049,0.582784755146049,0.582784755146049
"AFG70+SecondaryEducation35+","SecondaryEducation35+","AFG70",0.076634302149011,0.076634302149011,0.076634302149011
"ARM61+SecondaryEducation2035","SecondaryEducation2035","ARM61",0.913083524088913,0.913083524088913,0.913083524088913
"ARM61+MobilePhone","MobilePhone","ARM61",0.869088659166881,0.869088659166881,0.869088659166881
"ARM61+BankCard","BankCard","ARM61",0.262845550328298,0.262845550328298,0.262845550328298
"ARM61+HigherEducation35+","HigherEducation35+","ARM61",0.215497508798475,0.215497508798475,0.215497508798475
"ARM61+SafeSanitation","SafeSanitation","ARM61",0.795798056097453,0.795798056097453,0.795798056097453
"ARM61+ProfessionalHelp","ProfessionalHelp","ARM61",0.998848421338797,0.998848421338797,0.998848421338797
"ARM61+BasicWater","BasicWater","ARM61",0.94682138046847,0.94682138046847,0.94682138046847
"ARM61+ContraceptiveMethod","ContraceptiveMethod","ARM61",0.401408852252612,0.401408852252612,0.401408852252612
"ARM61+Land","Land","ARM61",0.903599392220088,0.903599392220088,0.903599392220088
"ARM61+CleanFuel","CleanFuel","ARM61",0.983433250659726,0.983433250659726,0.983433250659726
"ARM61+AccessElectricity","AccessElectricity","ARM61",0.997835845063322,0.997835845063322,0.997835845063322
"ARM61+HigherEducation2535","HigherEducation2535","ARM61",0.298184802001292,0.298184802001292,0.298184802001292
"ARM61+MultiDeprivation","MultiDeprivation","ARM61",0.262845550328298,0.262845550328298,0.262845550328298
"ARM61+CleanWater","CleanWater","ARM61",0.947821061219961,0.947821061219961,0.947821061219961
"ARM61+HouseholdTechNeed","HouseholdTechNeed","ARM61",0.869088659166881,0.869088659166881,0.869088659166881
"ARM61+HouseholdBasic","HouseholdBasic","ARM61",0.776878971073248,0.776878971073248,0.776878971073248
"ARM61+SecondaryEducation35+","SecondaryEducation35+","ARM61",0.851440870686924,0.851440870686924,0.851440870686924
"ARM71+WaterOnsitePR","WaterOnsitePR","ARM71",0.971173770236938,0.971173770236938,0.971173770236938
"ARM71+LearningPR","LearningPR","ARM71",0.999779540171297,0.999779540171297,0.999779540171297
"ARM71+MobilePhone","MobilePhone","ARM71",0.970243596478955,0.97372333436861,0.963284120699644
"ARM71+Covid","Covid","ARM71",0.510840702916393,0.510840702916393,0.510840702916393
