"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Country_ISO.x","Year.x","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","Year.y.1","Religion_data","Ethnicity_data","Language_data","mean.diff"
"IDN+2012+BasicWater+HighestEducation+PoorerHousehold+Residence","BasicWater","IDN63","HighestEducation+PoorerHousehold+Residence","0","43852.000687",0.666620736341137,"0.127582313038194","0.6969788636702","0.175398869002577","0.631751115252052","MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0 // HighestEducation ~ Higher","MIN-leaf // Residence~Rural // HighestEducation~Secondary + Higher // PoorerHousehold~1","Y","IDN","2012","BasicWater","IDN","2012","BasicWater ~ PoorerHousehold + Residence + HighestEducation","43852.000687",0.733168875406207,"0.127582313038194","0.929620403880811","0.139951804612175","0.478932442158923","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Lower","2012","","","",-0.06654813906507
"IDN+2017+Covid+aGroupPR+EducationPR+PoorerHousehold+Residence+Sex","Covid","IDN71","aGroupPR+EducationPR+PoorerHousehold+Residence+Sex","1","188565.613132",0.473064839868526,"0.120066623086526","0.655413379781661","0.171416697859828","0.219788429913574","MAX-leaf // PoorerHousehold ~ 0 // aGroupPR ~ 25-59 + 60+ // Residence ~ Rural","MIN-leaf // PoorerHousehold~1 // aGroupPR~0-24","Y","IDN","2017","Covid","IDN","2017","Covid ~ PoorerHousehold + Residence + aGroupPR + EducationPR + Sex","188565.613132",0.451023117457078,"0.175708703085791","0.642505215901373","0.088397780046624","0.176521115800045","MAX-leaf // PoorerHousehold ~ 0 // aGroupPR ~ 25-59 + 60+ // Sex ~ Female","MIN-leaf // PoorerHousehold~1 // aGroupPR~0-24 // Sex~Male","2017","","","",0.022041722411448
"IDN+2017+SafeSanitation+HighestEducation+PoorerHousehold+Residence","SafeSanitation","IDN71","HighestEducation+PoorerHousehold+Residence","1","47963.001382",0.714531182151198,"0.190514275643918","0.932947493558129","0.145825191094585","0.427401818064118","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y","IDN","2017","SafeSanitation","IDN","2017","SafeSanitation ~ PoorerHousehold + Residence + HighestEducation","47963.001382",0.797609571496853,"0.190540381474744","0.978340717991339","0.145825191094585","0.525495598937681","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","2017","","","",-0.0830783893456549
"IDN+2017+SafeSanitationPR+aGroupPR+EducationPR+PoorerHousehold+Residence+Sex","SafeSanitationPR","IDN71","aGroupPR+EducationPR+PoorerHousehold+Residence+Sex","1","188565.613132",0.905884926640485,"0.228726359311396","0.986580353174175","0.112183528940627","0.754789819308114","MAX-leaf // PoorerHousehold ~ 0 // EducationPR ~ Secondary + Higher // aGroupPR ~ 25-59 + 60+","MIN-leaf // PoorerHousehold~1 // EducationPR~Lower // aGroupPR~25-59","Y","IDN","2017","SafeSanitationPR","IDN","2017","SafeSanitationPR ~ PoorerHousehold + Residence + aGroupPR + EducationPR + Sex","188565.613132",0.809876713349089,"0.109890957549584","0.974310236042609","0.112183528940627","0.53670399522477","MAX-leaf // PoorerHousehold ~ 0 // EducationPR ~ Secondary + Higher // aGroupPR ~ 25-59 + 60+ // Sex ~ Female","MIN-leaf // PoorerHousehold~1 // EducationPR~Lower // aGroupPR~25-59","2017","","","",0.0960082132913961
"KAZ+2010+BasicWater+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","BasicWater","KAZ2010","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","0.5","15800",0.92257191718002,"0.536110603009134","0.988912776907772","0.183142473202096","0.773353757844236","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Residence~Rural // Ethnicity~Kazakh","Y","KAZ","2010","BasicWater","KAZ","2010","BasicWater ~ PoorerHousehold + Residence + HighestEducation + Religion + Ethnicity","15800",0.940455081196754,"0.536110603009128","0.990977265563575","0.183142473202096","0.8190944678064","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Residence~Rural // Ethnicity~Kazakh","2010","Ready","Ready","NN",-0.0178831640167341
"KAZ+2010+BasicWater+HighestEducation+PoorerHousehold+Residence","BasicWater","KAZ2010","HighestEducation+PoorerHousehold+Residence","0.5","15800",0.92257191718002,"0.536110603009134","0.988912776907772","0.332404642386573","0.810181485945115","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1","Y","KAZ","2010","BasicWater","KAZ","2010","BasicWater ~ PoorerHousehold + Residence + HighestEducation","15800",0.940455081196754,"0.536110603009128","0.990977265563575","0.332404642386572","0.854771264238787","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1","2010","Ready","Ready","NN",-0.0178831640167341
"KAZ+2010+ContraceptiveMethod+aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Religion+Residence","ContraceptiveMethod","KAZ2010","aGroup+Education+Ethnicity+NUnder5+PoorerHousehold+Religion+Residence","0","5824.93831535719",0.720750352377936,"0.055880050234479","0.784442925105384","0.110927963935074","0.555241415310239","MAX-leaf // aGroup ~ 25-34 + 35+ // NUnder5 ~ 0 + 1 // Education ~ Lower // Ethnicity ~ MinorEthnicity","MIN-leaf // aGroup~15-24","Y","KAZ","2010","ContraceptiveMethod","KAZ","2010","ContraceptiveMethod ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education + Religion + Ethnicity","7579.00548435548",0.655871077003683,"0.055851870296363","0.837535519789743","0.071009715963041","0.518303744186354","MAX-leaf // aGroup ~ 15-24 // NUnder5 ~ 0 + 1 // Residence ~ Urban","MIN-leaf // aGroup~35+ // Education~Lower + Secondary // Residence~Urban // Ethnicity~Russian","2010","Ready","Ready","NN",0.0648792753742531
"KAZ+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","KAZ2010","aGroup+Education+NUnder5+PoorerHousehold+Residence","0","5824.93831535719",0.720750352377936,"0.512660736208024","0.761693894749241","0.110927963935074","0.555241415310239","MAX-leaf // aGroup ~ 25-34 + 35+ // NUnder5 ~ 0 + 1 // Education ~ Lower","MIN-leaf // aGroup~15-24","Y","KAZ","2010","ContraceptiveMethod","KAZ","2010","ContraceptiveMethod ~ PoorerHousehold + Residence + aGroup + NUnder5 + Education","7579.00548435548",0.655871077003683,"0.22543496832009","0.805375097961803","0.208852253485752","0.543077047831133","MAX-leaf // aGroup ~ 15-24 + 25-34 // NUnder5 ~ 0 + 1 // Residence ~ Urban","MIN-leaf // aGroup~35+ // Education~Lower + Secondary // Residence~Urban","2010","Ready","Ready","NN",0.0648792753742531
"KAZ+2010+SecondaryEducation2035+Ethnicity+PoorerHousehold+Religion+Residence+Sex","SecondaryEducation2035","KAZ2010","Ethnicity+PoorerHousehold+Religion+Residence+Sex","0","13460.5755563363",0.992131840294871,"0.632935168654889","0.995980266935024","0.094266253446463","0.971947555918217","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Russian","Y","KAZ","2010","SecondaryEducation2035","KAZ","2010","SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex + Religion + Ethnicity","13460.5755563363",0.886803347236118,"0.184165522313884","0.952621015948352","0.094266253446463","0.7262107535413","MAX-leaf // PoorerHousehold ~ 0 // Ethnicity ~ Kazakh // Sex ~ Female","MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Russian","2010","Ready","Ready","NN",0.105328493058753
"KAZ+2010+SecondaryEducation2035+PoorerHousehold+Residence+Sex","SecondaryEducation2035","KAZ2010","PoorerHousehold+Residence+Sex","0","13460.5755563363",0.992131840294871,"0.632935168654889","0.995980266935024","0.192752999742283","0.982460939385743","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Sex~Male","Y","KAZ","2010","SecondaryEducation2035","KAZ","2010","SecondaryEducation2035 ~ PoorerHousehold + Residence + Sex","13460.5755563363",0.886803347236118,"0.256400744384299","0.930735756372876","0.192752999742283","0.828563524950108","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Sex ~ Female","MIN-leaf // PoorerHousehold~1 // Sex~Male","2010","Ready","Ready","NN",0.105328493058753
"KAZ+2015+BasicWater+Ethnicity+HighestEducation+PoorerHousehold+Residence","BasicWater","KAZ2015","Ethnicity+HighestEducation+PoorerHousehold+Residence","1","16500",0.960736378001772,"0.539419519395968","0.995019212843459","0.206411766295854","0.883333872467308","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Lower + Secondary","Y","KAZ","2015","BasicWater","KAZ","2015","BasicWater ~ PoorerHousehold + Residence + HighestEducation + Ethnicity","16500",0.985480599246133,"0.655699250559622","0.995877257119767","0.144817917687536","0.958862980753595","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary // Ethnicity~Kazakh","2015",NA,"Ready","NN",-0.0247442212443609
"KAZ+2015+BasicWater+HighestEducation+PoorerHousehold+Residence","BasicWater","KAZ2015","HighestEducation+PoorerHousehold+Residence","1","16500",0.960736378001772,"0.539419519395968","0.995019212843459","0.344300749440377","0.897854256018531","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1","Y","KAZ","2015","BasicWater","KAZ","2015","BasicWater ~ PoorerHousehold + Residence + HighestEducation","16500",0.985480599246133,"0.655699250559622","0.995877257119767","0.344300749440379","0.965680814357059","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1","2015",NA,"Ready","NN",-0.0247442212443609
