"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"ARM61+NotStunting","NotStunting","ARM61","0.806301994008334","0.806301994008334","0.806301994008334","DHS",1,"ARM61","AM","61","PR","NotStunting","0.806301994008334",1,"NotStunting",0
"ARM61+NotWasting","NotWasting","ARM61","0.959385045615419","0.959385045615419","0.959385045615419","DHS",1,"ARM61","AM","61","PR","NotWasting","0.959385045615419",1,"NotWasting",0
"ARM61+Overweight","Overweight","ARM61","0.15389460073652","0.15389460073652","0.15389460073652","DHS",1,"ARM61","AM","61","PR","Overweight","0.15389460073652",1,"Overweight",0
"ARM61+ProfessionalHelp","ProfessionalHelp","ARM61","0.998848421338797","0.998848421338797","0.998848421338797","DHS",1,"ARM61","AM","61","IR","ProfessionalHelp","0.998848421338797",1,"ProfessionalHelp",0
"ARM61+SafeSanitation","SafeSanitation","ARM61","0.795798056097453","0.795798056097453","0.795798056097453","DHS",1,"ARM61","AM","61","HR","SafeSanitation","0.796119562218535",1,"SafeSanitation",0.000321506121081949
"ARM61+SecondaryEducation2035","SecondaryEducation2035","ARM61","0.913083524088913","0.913083524088913","0.913083524088913","DHS",1,"ARM61","AM","61","PR","SecondaryEducation2035","0.913701679701495",1,"SecondaryEducation2035",0.000618155612581939
"ARM61+SecondaryEducation35plus","SecondaryEducation35plus","ARM61","0.851440870686924","0.851440870686924","0.851440870686924","DHS",1,"ARM61","AM","61","PR","SecondaryEducation35plus","0.851357686320001",1,"SecondaryEducation35plus",8.31843669230059e-05
"ARM61+Stunting","Stunting","ARM61","0.193698005991666","0.193698005991666","0.193698005991666","DHS",1,"ARM61","AM","61","PR","Stunting","0.193698005991666",1,"Stunting",0
"ARM61+Wasting","Wasting","ARM61","0.040614954384581","0.040614954384581","0.040614954384581","DHS",1,"ARM61","AM","61","PR","Wasting","0.0406149543845808",1,"Wasting",2.0122792321331e-16
"ARM71+AccessElectricity","AccessElectricity","ARM71","0.999637373630559","0.999637373630559","0.999637373630559","DHS",1,"ARM71","AM","71","HR","AccessElectricity","0.999637373630559",1,"AccessElectricity",0
